_id,age,Aggregated_Date,BMNH,By Catch,CBRU,Comb_other_ref,Comment,Common Name ,Condition,Count,Country Code,County,Date,Day_val,Entered,Fam_Genus,GRef Source,Grid ref,in Collections,JBaker,Latitude,Length Approx,Length et,Length Imp,Length Imp_,Length_Approx,Length_Met,lett,Location,Longitude,Mass_Single,MCS,Month_val,Old County,Other,Other refs,Rect_CoNAord_,Rep_Source,S_W_No,S_W_No_,Scientific Name ,Scientific name ,sequ,Sex,Spec_No,Spec_No_,species,Updated,year,Year_val
8307,NA,19741118,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,decayed,1275,1,Cornwall,18/11/1974,18,02-Nov-90,Globicephala,NA,SW91007900,NA,NA,50.57270889,No,4.57,15',,,,NA,"Pentireglaze Haven, Padstow Bay",-4.952006363,S,ZK0079,11,NA,NA,NA,19100007900,NA,1974/41,,Globicephala melas,,41,NA,3048,,melaena,23-Dec-08,1974,1974
7294,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3871,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2035,,melaena,23-Dec-08,1950,1950
7268,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3845,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2009,,melaena,23-Dec-08,1950,1950
7266,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3843,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2007,,melaena,23-Dec-08,1950,1950
6984,NA,19461120,ZK0132,NA,NA,NA,Lesser Rorqual,Minke whale,NA,393,2,"Aberdeenshire, Scotland",20/11/1946,20,02-Nov-90,Balaenoptera,NA,NJ990205,NA,NA,57.2755,No,4.72,15'6'',,,,NA,"Menie, Balmedie",-2.0182,S,ZK0132,11,NA,NA,NA,NA,NA,1946/22,,Balaenoptera acutorostrata,,22,M,1725,,acutorostrata,23-Dec-08,1946,1946
8309,NA,19741130,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,decayed,1277,1,Cornwall,30/11/1974,30,02-Nov-90,Globicephala,NA,SW91007500,NA,NA,50.53678079,No,6.71,22',,,,NA,"Constantine Bay, Trevose Head, Padstow",-4.949761371,S,ZK0079,11,NA,NA,NA,19100007500,NA,1974/43,,Globicephala melas,,43,M,3050,,melaena,23-Dec-08,1974,1974
7304,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3881,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2045,,melaena,23-Dec-08,1950,1950
7269,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3846,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2010,,melaena,23-Dec-08,1950,1950
7274,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3851,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2015,,melaena,23-Dec-08,1950,1950
6990,NA,19470320,ZK0085,NA,NA,NA,Common Porpoise,Harbour porpoise,NA,2153,1,Sussex,20/03/1947,20,02-Nov-90,Phocoena,NA,TQ891131,NA,NA,50.8866,No,1.75,5'9'',,,,NA,"Pett Level, Fairlight",0.6878,S,ZK0085,3,NA,NA,NA,NA,NA,1947/4,,Phocoena phocoena,,4,F,1731,,phocoena,23-Dec-08,1947,1947
